Species,Frequency
Trichoderma reesei QM6a,1
Serratia liquefaciens,1
Klebsiella michiganensis,1
Escherichia coli,1
Edaphobacter sp. 12200R-103,1
Aspergillus heteromorphus CBS 117.55,2
Aspergillus eucalypticola CBS 122712,2
Delphinella strobiligena,1
